sentence_en,start,end,duration,talks_id
We are at a remarkable moment in time. ,12.231,16.256,4.025,2093
We face over the next two decades ,16.256,19.192,2.936,2093
two fundamental transformations ,19.192,21.258,2.066,2093
that will determine whether the next 100 years ,21.258,24.3,3.042,2093
is the best of centuries or the worst of centuries. ,24.3,28.485,4.185,2093
Let me illustrate with an example. ,28.485,31.207,2.722,2093
I first visited Beijing 25 years ago ,31.207,34.481,3.274,2093
to teach at the People's University of China. ,34.481,37.507,3.026,2093
China was getting serious about market economics ,37.507,40.443,2.936,2093
"and about university education, ",40.443,42.782,2.339,2093
so they decided to call in the foreign experts. ,42.782,47.273,4.491,2093
"Like most other people, ",47.273,48.878,1.605,2093
I moved around Beijing by bicycle. ,48.878,51.694,2.816,2093
"Apart from dodging the occasional vehicle, ",51.694,53.888,2.194,2093
it was a safe and easy way to get around. ,53.888,57.195,3.307,2093
Cycling in Beijing now ,57.195,58.559,1.364,2093
is a completely different prospect. ,58.559,61.38,2.821,2093
The roads are jammed by cars and trucks. ,61.38,64.523,3.143,2093
The air is dangerously polluted ,64.523,66.322,1.799,2093
from the burning of coal and diesel. ,66.322,69.934,3.612,2093
"When I was there last in the spring, ",69.934,72.072,2.138,2093
there was an advisory for people of my age ??,72.072,74.85,2.778,2093
over 65 ??,74.85,77.28,2.43,2093
to stay indoors and not move much. ,77.28,80.149,2.869,2093
How did this come about? ,80.149,82.083,1.934,2093
It came from the way in which ,82.083,84.503,2.42,2093
Beijing has grown as a city. ,84.503,86.768,2.265,2093
"It's doubled over those 25 years, more than doubled, ",86.768,89.228,2.46,2093
from 10 million to 20 million. ,89.228,91.404,2.176,2093
It's become a sprawling urban area ,91.404,93.097,1.693,2093
"dependent on dirty fuel, dirty energy, ",93.097,97.456,4.359,2093
particularly coal. ,97.456,99.279,1.823,2093
"China burns half the world's coal each year, ",99.279,103.554,4.275,2093
"and that's why, it is a key reason why, ",103.554,107.468,3.914,2093
it is the world's largest emitter ,107.468,109.493,2.025,2093
of greenhouse gases. ,109.493,112.407,2.914,2093
"At the same time, we have to recognize ",112.407,114.521,2.114,2093
that in that period China has grown remarkably. ,114.521,117.705,3.184,2093
It has become the world's second largest economy. ,117.705,120.146,2.441,2093
Hundreds of millions of people ,120.146,121.615,1.469,2093
have been lifted out of poverty. ,121.615,123.78,2.165,2093
That's really important. ,123.78,125.861,2.081,2093
"But at the same time, the people of China ",125.861,128.178,2.317,2093
are asking the question: ,128.178,129.778,1.6,2093
What's the value of this growth ,129.778,131.358,1.58,2093
if our cities are unlivable? ,131.358,133.483,2.125,2093
"They've analyzed, diagnosed ",133.483,135.795,2.312,2093
that this is an unsustainable path of growth ,135.795,139.135,3.34,2093
and development. ,139.135,141.261,2.126,2093
China's planning to scale back coal. ,141.261,143.59,2.329,2093
It's looking to build its cities in different ways. ,143.59,149.451,5.861,2093
"Now, the growth of China ",149.451,151.284,1.833,2093
"is part of a dramatic change, fundamental change, ",151.284,155.008,3.724,2093
in the structure of the world economy. ,155.008,157.775,2.767,2093
"Just 25 years ago, the developing countries, ",157.775,160.497,2.722,2093
"the poorer countries of the world, ",160.497,162.387,1.89,2093
"were, notwithstanding being the vast majority of the people,",162.387,166.313,3.926,2093
they accounted for only about a third ,166.313,168.136,1.823,2093
of the world's output. ,168.136,170.128,1.992,2093
Now it's more than half; ,170.128,171.872,1.744,2093
"25 years from now, it will probably be two thirds ",171.872,174.843,2.971,2093
from the countries that we saw 25 years ago ,174.843,177.948,3.105,2093
as developing. ,177.948,179.224,1.276,2093
That's a remarkable change. ,179.224,180.822,1.598,2093
"It means that most countries around the world, ",180.822,183.224,2.402,2093
"rich or poor, are going to be facing ",183.224,185.283,2.059,2093
the two fundamental transformations ,185.283,187.263,1.98,2093
that I want to talk about and highlight. ,187.263,190.448,3.185,2093
"Now, the first of these transformations ",190.448,192.461,2.013,2093
is the basic structural change ,192.461,195.068,2.607,2093
of the economies and societies ,195.068,196.808,1.74,2093
that I've already begun to illustrate ,196.808,198.838,2.03,2093
through the description of Beijing. ,198.838,202.348,3.51,2093
Fifty percent now in urban areas. ,202.348,205.307,2.959,2093
That's going to go to 70 percent in 2050. ,205.307,208.918,3.611,2093
"Over the next two decades, we'll see ",208.918,211.179,2.261,2093
"the demand for energy rise by 40 percent, ",211.179,214.092,2.913,2093
and the growth in the economy and in the population ,214.092,218.066,3.974,2093
"is putting increasing pressure on our land, ",218.066,221.048,2.982,2093
on our water and on our forests. ,221.048,224.914,3.866,2093
This is profound structural change. ,224.914,228.199,3.285,2093
If we manage it in a negligent ,228.199,229.774,1.575,2093
"or a shortsighted way, ",229.774,232.393,2.619,2093
"we will create waste, pollution, congestion, ",232.393,236.259,3.866,2093
destruction of land and forests. ,236.259,239.809,3.55,2093
If we think of those three areas that I have illustrated ,239.809,242.137,2.328,2093
"with my numbers ??cities, energy, land ??",242.137,245.86,3.723,2093
"if we manage all that badly, ",245.86,247.739,1.879,2093
then the outlook for the lives and livelihoods ,247.739,249.82,2.081,2093
of the people around the world ,249.82,251.631,1.811,2093
would be poor and damaged. ,251.631,254.624,2.993,2093
"And more than that, ",254.624,256.446,1.822,2093
"the emissions of greenhouse gases would rise, ",256.446,259.754,3.308,2093
with immense risks to our climate. ,259.754,263.635,3.881,2093
Concentrations of greenhouse gases ,263.635,265.682,2.047,2093
in the atmosphere are already ,265.682,268.6,2.918,2093
higher than they've been for millions of years. ,268.6,272.234,3.634,2093
"If we go on increasing those concentrations, ",272.234,275.872,3.638,2093
we risk temperatures over the next century or so ,275.872,279.246,3.374,2093
that we have not seen on this planet ,279.246,280.863,1.617,2093
for tens of millions of years. ,280.863,284.068,3.205,2093
We've been around as Homo sapiens ??,284.068,286.194,2.126,2093
"that's a rather generous definition, sapiens ??",286.194,289.365,3.171,2093
"for perhaps a quarter of a million years, a quarter of a million.",289.365,292.168,2.803,2093
We risk temperatures we haven't seen ,292.168,293.399,1.231,2093
for tens of millions of years over a century. ,293.399,298.138,4.739,2093
That would transform the relationship ,298.138,300.208,2.07,2093
between human beings and the planet. ,300.208,304.437,4.229,2093
"It would lead to changing deserts, ",304.437,309.088,4.651,2093
"changing rivers, changing patterns of hurricanes, ",309.088,312.278,3.19,2093
"changing sea levels, ",312.278,313.516,1.238,2093
"hundreds of millions of people, ",313.516,316.159,2.643,2093
"perhaps billions of people who would have to move, ",316.159,319.388,3.229,2093
"and if we've learned anything from history, ",319.388,321.311,1.923,2093
that means severe and extended conflict. ,321.311,323.623,2.312,2093
And we couldn't just turn it off. ,323.623,325.501,1.878,2093
You can't make a peace treaty with the planet. ,325.501,327.931,2.43,2093
You can't negotiate with the laws of physics. ,327.931,330.158,2.227,2093
You're in there. You're stuck. ,330.158,331.873,1.715,2093
"Those are the stakes we're playing for, ",331.873,333.549,1.676,2093
"and that's why we have to make this second transformation,",333.549,336.271,2.722,2093
"the climate transformation, ",336.271,337.911,1.64,2093
and move to a low-carbon economy. ,337.911,340.294,2.383,2093
"Now, the first of these transformations ",340.294,342.672,2.378,2093
is going to happen anyway. ,342.672,343.753,1.081,2093
"We have to decide whether to do it well or badly, ",343.753,345.602,1.849,2093
"the economic, or structural, transformation. ",345.602,348.42,2.818,2093
"But the second of the transformations, ",348.42,350.31,1.89,2093
"the climate transformations, we have to decide to do. ",350.31,354.424,4.114,2093
Those two transformations face us ,354.424,356.643,2.219,2093
in the next two decades. ,356.643,358.816,2.173,2093
